Dataset,Matrix_Name,Rows,Columns,NNZ,Mean_NNZ_Per_Row,Std_Dev_NNZ,Max_NNZ_Per_Row,Empty_Rows,Empty_Rows_Percent,Config_Threads,Config_Threshold,Short_Rows,Short_Rows_Percent,Long_Rows,Long_Rows_Percent,Launch_Blocks,Launch_Short_Blocks,Launch_Long_Blocks,Execution_Time_Seconds,Bandwidth_GB_s,Performance_GFLOPS,Arithmetic_Intensity
ML_Geer,ML_Geer,1504002,1504002,110879972,73.72,2.51,74,0,0.00,128,128,1504002,100.0,0,0.0,11751,11751,0,0.001754,768.94,126.44,0.164
ML_Geer,ML_Geer,1504002,1504002,110879972,73.72,2.51,74,0,0.00,128,256,1504002,100.0,0,0.0,11751,11751,0,0.001736,776.92,127.75,0.164
ML_Geer,ML_Geer,1504002,1504002,110879972,73.72,2.51,74,0,0.00,256,16,0,0.0,1504002,100.0,188001,0,188001,0.002624,513.89,84.50,0.164
ML_Geer,ML_Geer,1504002,1504002,110879972,73.72,2.51,74,0,0.00,256,32,8,0.0,1503994,100.0,188001,1,188000,0.003174,424.87,69.86,0.164
ML_Geer,ML_Geer,1504002,1504002,110879972,73.72,2.51,74,0,0.00,256,64,15992,1.1,1488010,98.9,186065,63,186002,0.002700,499.53,82.14,0.164
ML_Geer,ML_Geer,1504002,1504002,110879972,73.72,2.51,74,0,0.00,256,128,1504002,100.0,0,0.0,5876,5876,0,0.001792,752.49,123.74,0.164
ML_Geer,ML_Geer,1504002,1504002,110879972,73.72,2.51,74,0,0.00,256,256,1504002,100.0,0,0.0,5876,5876,0,0.001781,757.38,124.54,0.164
ML_Geer,ML_Geer,1504002,1504002,110879972,73.72,2.51,74,0,0.00,512,16,0,0.0,1504002,100.0,94001,0,94001,0.003157,427.15,70.24,0.164
ML_Geer,ML_Geer,1504002,1504002,110879972,73.72,2.51,74,0,0.00,512,32,8,0.0,1503994,100.0,94001,1,94000,0.003228,417.77,68.70,0.164
ML_Geer,ML_Geer,1504002,1504002,110879972,73.72,2.51,74,0,0.00,512,64,15992,1.1,1488010,98.9,93033,32,93001,0.003260,413.63,68.01,0.164
ML_Geer,ML_Geer,1504002,1504002,110879972,73.72,2.51,74,0,0.00,512,128,1504002,100.0,0,0.0,2938,2938,0,0.001800,749.42,123.23,0.164
